@RELATION training

@ATTRIBUTE ram REAL
@ATTRIBUTE cpuutilisation REAL
@ATTRIBUTE hostutilisation REAL
@ATTRIBUTE sla REAL
@ATTRIBUTE migration {0,1}

@DATA
870,0.63818,51,0.002916,1
870,0.415984,19,0,1
870,0.912829,51,0.005076,1
613,0.827365,12,0.017361,1
870,0.822005,69,0.002132,1
613,0.977114,7,0.03686,1
870,0.537341,20,0.042407,1
1740,0.999891,38,0.00442,1
613,0.605317,6,0.001718,1
870,0.476027,27,0.002274,1
870,0.794339,39,0.027298,1
613,0.887765,12,0.002345,1
870,0.679002,35,0.001637,1
613,0.802983,7,0.055941,1
613,0.961599,9,0.01173,1
613,0.484976,5,0.012482,1
870,0.711637,38,0.013887,1
613,0.874645,7,0.00171,1
613,0.914154,8,0.002641,1
613,0.878486,8,0.002542,1
613,0.718695,8,0.00204,1
870,0.873812,50,0.002529,1
613,0.759582,8,0.003592,1
870,0.693343,42,0.002412,1
870,0.965071,55,0.037148,1
613,0.91964,11,0.006123,1
870,0.258206,17,0.01835,1
613,0.427068,4,0.002328,1
613,0.814958,7,0.002302,1
613,0.439417,4,0.004067,1
870,0.566757,29,0.014455,1
870,0.314241,20,0.001659,1
613,0.370982,4,0.002223,1
870,0.377721,20,0.004206,1
1740,0.714534,38,0,1
613,0.999521,11,0.006328,1
1740,0.881436,43,0.000474,1
613,0.024145,0,0.001779,1
613,0.732772,9,0.001249,1
613,0.831171,6,0.004164,1
613,0.685503,6,0.029109,1
870,0.510841,22,0.005888,1
870,0.906501,50,0.001059,1
870,0.981594,49,0.001492,1
613,0.646324,8,0.069178,1
1740,0.538182,31,0.041764,1
613,0.201633,2,0.00339,1
870,0.233258,14,0.026556,1
613,0.536336,5,0.04441,1
613,0.1467,1,0.030411,1
870,0.248157,12,0.046994,1
870,0.786207,42,0.02785,1
613,0.775215,8,0.003551,1
613,0.33103,4,0.010932,1
870,0.147636,9,0.001724,1
870,0.430781,27,0.001029,1
870,0.829204,52,0.045852,1
613,0.155013,2,0.003142,1
613,0.95947,13,0.034188,1
613,0.136475,1,0.00386,1
870,0.681974,28,0.002961,1
1740,0.676875,16,0.00343,1
613,0.786126,9,0.003262,1
870,0.066956,4,0.013793,1
870,0.712262,44,0.006108,1
613,0.764359,9,0.005598,1
1740,0.717836,18,0.000684,1
613,0.770573,5,0.005453,1
613,0.120241,1,0.025038,1
870,0.938459,33,0.083037,1
870,0.533938,28,0.049105,1
613,0.379858,4,0.004767,1
870,0.452133,26,0.013428,1
613,0.671918,6,0.000809,1
613,0.176632,2,0.001695,1
613,0.223107,2,0.00145,1
613,0.535622,5,0.003426,1
870,0.859586,45,0.00094,1
1740,0.307883,16,0.000997,1
613,0.030127,0,0.05116,1
870,0.994813,59,0.068919,1
613,0.665111,9,0.002591,1
613,0.949994,11,0.003112,1
613,0.950639,12,0.03187,1
613,0.10549,1,0.010639,1
870,0.695129,41,0.00161,1
613,0.762026,6,0.001893,1
870,0.969561,44,0.002421,1
870,0.889507,48,0.002588,1
870,0.984192,50,0.009173,1
870,0.943823,45,0.003397,1
613,0.744018,7,0.005426,1
613,0.078095,1,0.046003,1
613,0.582408,6,0.009508,1
870,0.643066,36,0.012357,1
613,0.992395,9,0.018112,1
613,0.591017,6,0.069188,1
613,0.893354,7,0.001925,1
613,0.803281,7,0.026867,1
613,0.571353,5,0.020314,1
870,0.928895,35,0.002523,1
613,0.759842,7,0.064617,1
870,0.790493,37,0.016266,1
870,0.942394,45,0.00979,1
613,0.714765,8,0.036005,1
613,0.475498,6,0.022191,1
613,0.278047,3,0.037923,1
613,0.180036,1,0.00172,1
613,0.720239,6,0.0076,1
1740,0.624806,10,0.004325,1
870,0.891622,32,0.00408,1
870,0.411279,18,0.003273,1
613,0.843413,10,0.038794,1
613,0.074549,1,0.003009,1
613,0.949238,8,0.027328,1
613,0.140654,1,0.050938,1
870,0.87291,36,0.001792,1
613,0.946899,9,0.008502,1
870,0.439054,22,0.004214,1
613,0.600581,4,0.002222,1
613,0.023202,0,0.018364,1
870,0.852085,33,0.001962,1
613,0.93916,13,0.003607,1
613,0.308562,3,0.030489,1
870,0.861532,32,0.002617,1
613,0.463544,4,0.044463,1
613,0.759855,7,0.045963,1
613,0.786865,9,0.002529,1
613,0.767606,9,0.062833,1
613,0.518424,4,0.050222,1
870,0.945128,38,0.040592,1
1740,0.768556,32,0.002783,1
613,0.611547,5,0.005727,1
870,0.862152,45,0.003442,1
613,0.473333,4,0.026555,1
870,0.839136,35,0.06414,1
613,0.850338,13,0.012519,1
613,0.592112,5,0.07841,1
613,0.943414,9,0.053851,1
870,0.534147,28,0.050129,1
613,0.27359,3,0.041537,1
613,0.679627,7,0.012531,1
1740,0.733737,27,0.032169,1
870,0.457226,27,0.021583,1
870,0.882524,41,0.004524,1
870,0.524452,23,0.006367,1
613,0.443605,4,0.012292,1
613,0.987168,8,0.003638,1
613,0.465348,5,0.052604,1
613,0.572482,6,0.041459,1
613,0.650383,6,0.030609,1
613,0.932758,11,0.051144,1
613,0.608311,6,0.061112,1
613,0.977965,8,0.025931,1
613,0.959114,9,0.03156,1
613,0.635781,6,0.01613,1
870,0.593562,29,0.03384,1
613,0.779941,9,0.008523,1
870,0.814467,54,0.002042,1
870,0.694063,21,0.004372,1
613,0.164408,1,0.022327,1
613,0.773669,6,0.026985,1
613,0.12514,1,0.03027,1
613,0.683419,7,0.046422,1
870,0.634497,32,0.10966,1
613,0.324009,3,0.046856,1
613,0.308204,3,0.090251,1
613,0.896854,9,0.005334,1
613,0.311103,3,0.024066,1
870,0.78179,36,0.037428,1
870,0.833823,45,0.016778,1
613,0.069924,1,0.02014,1
613,0.835606,8,0.042622,1
613,0.303859,3,0.061589,1
870,0.306064,15,0.068564,1
870,0.795545,40,0.002124,1
613,0.861263,9,0.032554,1
870,0.36006,20,0.043161,1
613,0.520054,6,0.043096,1
613,0.637031,5,0.028663,1
613,0.414207,3,0.036924,1
613,0.416399,4,0.0127,1
1740,0.976748,35,0.010356,1
870,0.542441,20,0.011869,1
870,0.739937,40,0.004183,1
613,0.717077,11,0.044435,1
613,0.996793,11,0.028244,1
613,0.132441,1,0.040358,1
613,0.501465,5,0.033039,1
870,0.928824,32,0.00882,1
613,0.963436,8,0.050117,1
870,0.706228,35,0.07089,1
613,0.389,4,0.006772,1
870,0.583904,29,0.004063,1
613,0.343861,4,0.002958,1
613,0.230878,2,0.062197,1
613,0.285242,2,0.027996,1
613,0.260855,2,0.031963,1
613,0.998905,7,0.001172,1
613,0.83127,6,0.003122,1
613,0.040449,0,0.036769,1
613,0.083681,1,0.02661,1
870,0.639845,23,0.04002,1
613,0.643399,5,0.080436,1
870,0.932508,39,0.074152,1
613,0.946384,5,0.048001,1
613,0.29877,2,0.037125,1
613,0.082792,0,0.024651,1
613,0.240476,1,0.01995,1
613,0.487379,3,0.048466,1
870,0.86757,25,0.033413,1
613,0.139308,1,0.023685,1
1740,0.295475,5,0.004216,1
1740,0.209831,4,0.006079,1
613,0.864004,6,0.04646,1
870,0.760936,27,0.014454,1
613,0.037342,0,0.065322,1
870,0.524322,20,0.045287,1
613,0.535727,5,0.030163,1
613,0.599282,5,0.04375,1
870,0.535238,25,0.058428,1
613,0.36613,3,0.007955,1
1740,0.907127,32,0.004445,1
870,0.707417,55,0.011978,1
613,0.456524,4,0.102265,1
613,0.291266,2,0.050457,1
613,0.067092,1,0.062578,1
1740,0.9296,31,0.031462,1
870,0.413432,24,0.008692,1
613,0.320615,2,0.0176,1
613,0.38801,3,0.017475,1
870,0.690254,26,0.028097,1
613,0.56343,5,0.022652,1
870,0.488013,26,0.012699,1
870,0.979427,40,0.005538,1
613,0.270999,3,0.028626,1
870,0.619275,33,0.027979,1
613,0.381652,4,0.020713,1
870,0.764876,37,0.005007,1
613,0.494439,5,0.041451,1
613,0.136235,1,0.022209,1
613,0.588516,5,0.087509,1
613,0.845031,7,0.074713,1
613,0.713204,8,0.005308,1
613,0.17535,2,0.018722,1
613,0.623492,6,0.002253,1
870,0.809988,40,0.019871,1
613,0.727908,7,0.018785,1
613,0.707652,5,0.045419,1
613,0.236519,2,0.050356,1
613,0.994338,8,0.03337,1
870,0.755085,33,0.084209,1
1740,0.637888,13,0.020016,1
613,0.361808,3,0.071052,1
613,0.322237,4,0.002735,1
613,0.289569,3,0.071836,1
870,0.809535,42,0.010443,1
1740,0.986595,32,0.006997,1
613,0.461489,4,0.047558,1
613,0.179389,1,0.042239,1
613,0.166765,1,0.041882,1
1740,0.71194,12,0.022541,1
613,0.409562,4,0.026743,1
613,0.135659,2,0.090454,1
870,0.871873,45,0.026694,1
613,0.640176,6,0.020044,1
1740,0.429196,9,0.027041,1
870,0.816429,36,0.040121,1
870,0.30879,18,0.047979,1
613,0.811632,6,0.060333,1
613,0.564038,4,0.047882,1
613,0.262108,2,0.045661,1
1740,0.476065,16,0.045024,1
1740,0.088445,2,0.030131,1
613,0.530975,4,0.067846,1
613,0.99346,7,0.087861,1
613,0.291441,2,0.058888,1
1740,0.548783,18,0.096243,1
1740,0.320932,8,0.01044,1
613,0.681351,6,0.022154,1
613,0.274124,2,0.004546,1
613,0.441821,4,0.012488,1
613,0.05161,0,0.018929,1
613,0.639535,5,0.038024,1
870,0.969206,43,0.004136,1
613,0.618809,7,0.036771,1
613,0.334085,4,0.048419,1
613,0.508022,6,0.004109,1
870,0.961859,44,0.009174,1
613,0.860275,5,0.066581,1
613,0.447831,3,0.035849,1
613,0.154995,1,0.043567,1
613,0.526569,3,0.028284,1
870,0.76267,23,0.029491,1
613,0.514281,5,0.022338,1
613,0.261819,3,0.015343,1
870,0.931493,48,0.035858,1
613,0.495373,5,0.012702,1
613,0.625553,7,0.034858,1
613,0.636713,5,0.033979,1
613,0.676135,6,0.019344,1
870,0.744037,36,0.057392,1
613,0.826261,6,0.052793,1
870,0.85754,33,0.005404,1
613,0.741158,8,0.021558,1
1740,0.559441,19,0.042424,1
1740,0.772616,14,0.019028,1
613,0.565956,5,0.050435,1
613,0.758633,7,0.039278,1
613,0.902465,5,0.007575,1
613,0.266937,2,0.02418,1
613,0.937228,6,0.048731,1
613,0.457763,3,0.037719,1
870,0.964608,34,0.005152,1
613,0.864709,7,0.002096,1
870,0.960114,43,0.043679,1
870,0.405487,25,0.045465,1
613,0.833488,6,0.107532,1
613,0.081898,1,0.046249,1
870,0.813384,29,0.124339,1
613,0.518505,5,0.059786,1
613,0.681358,6,0.026866,1
613,0.337509,3,0.077586,1
870,0.86374,43,0.012417,1
1740,0.108964,5,0.029792,1
613,0.569771,5,0.021722,1
613,0.836015,7,0.004749,1
613,0.30234,2,0.03174,1
613,0.31774,3,0.062009,1
613,0.91468,8,0.045173,1
613,0.728728,7,0.004676,1
613,0.489043,5,0.027466,1
870,0.526321,26,0.049393,1
870,0.498329,22,0.081706,1
870,0.274487,15,0.104607,1
613,0.436113,4,0.093569,1
613,0.64481,5,0.016244,1
870,0.776009,34,0.003211,1
1740,0.098492,4,0.09899,1
870,0.644056,29,0.02972,1
613,0.154394,1,0.074848,1
1740,0.792289,31,0.04778,1
613,0.659527,8,0.035866,1
870,0.900931,45,0.024223,1
613,0.565951,7,0.049208,1
613,0.919439,11,0.017589,1
613,0.990746,7,0.037911,1
870,0.915355,35,0.011726,1
